Pulse number,Conductance (W11),Moving averaged conductance (W11),Conductance (W12),Moving averaged conductance (W12),
597,1.29E-04,1.19E-04,4.18E-05,4.13E-05,
598,1.23E-04,1.18E-04,4.12E-05,4.12E-05,
599,1.21E-04,1.15E-04,4.07E-05,4.09E-05,
600,1.08E-04,1.14E-04,3.96E-05,4.10E-05,
601,1.05E-04,1.13E-04,4.12E-05,4.10E-05,
602,1.12E-04,1.12E-04,4.33E-05,4.13E-05,
603,1.10E-04,1.11E-04,4.07E-05,4.16E-05,
604,1.06E-04,1.09E-04,4.05E-05,4.19E-05,
605,1.04E-04,1.08E-04,3.98E-05,4.20E-05,
606,1.10E-04,1.08E-04,4.16E-05,4.20E-05,
607,1.17E-04,1.07E-04,4.46E-05,4.18E-05,
608,1.13E-04,1.07E-04,4.46E-05,4.21E-05,
609,1.09E-04,1.07E-04,4.29E-05,4.20E-05,
610,9.69E-05,1.06E-04,4.08E-05,4.22E-05,
611,1.04E-04,1.05E-04,4.16E-05,4.20E-05,
612,1.01E-04,1.02E-04,4.10E-05,4.16E-05,
613,1.10E-04,1.01E-04,4.32E-05,4.12E-05,
614,1.00E-04,9.89E-05,3.99E-05,4.11E-05,
615,9.85E-05,9.84E-05,4.19E-05,4.10E-05,
616,9.67E-05,9.73E-05,3.97E-05,4.08E-05,
617,9.58E-05,9.62E-05,4.05E-05,4.08E-05,
618,9.43E-05,9.49E-05,4.03E-05,4.08E-05,
619,9.21E-05,9.46E-05,4.17E-05,4.12E-05,
620,9.12E-05,9.46E-05,4.06E-05,4.16E-05,
621,9.33E-05,9.35E-05,3.93E-05,4.18E-05,
622,9.06E-05,9.27E-05,4.12E-05,4.18E-05,
623,9.62E-05,9.31E-05,4.32E-05,4.21E-05,
624,9.73E-05,9.26E-05,4.41E-05,4.20E-05,
625,9.79E-05,9.25E-05,4.55E-05,4.23E-05,
626,8.60E-05,9.23E-05,4.13E-05,4.23E-05,
627,8.77E-05,9.23E-05,4.07E-05,4.24E-05,
628,9.89E-05,9.10E-05,4.37E-05,4.21E-05,
629,8.64E-05,8.99E-05,4.07E-05,4.17E-05,
630,9.06E-05,8.92E-05,4.33E-05,4.17E-05,
631,9.10E-05,8.94E-05,3.99E-05,4.18E-05,
632,9.11E-05,8.93E-05,4.13E-05,4.19E-05,
633,8.25E-05,8.86E-05,4.03E-05,4.19E-05,
634,8.70E-05,8.90E-05,4.08E-05,4.19E-05,
635,9.04E-05,8.82E-05,4.47E-05,4.17E-05,
636,8.86E-05,8.79E-05,4.31E-05,4.18E-05,
637,8.62E-05,8.81E-05,4.15E-05,4.20E-05,
638,9.20E-05,8.86E-05,4.34E-05,4.22E-05,
639,9.02E-05,8.78E-05,4.13E-05,4.21E-05,
640,8.32E-05,8.65E-05,4.07E-05,4.17E-05,
641,8.82E-05,8.49E-05,4.13E-05,4.15E-05,
642,9.23E-05,8.51E-05,4.30E-05,4.17E-05,
643,8.80E-05,8.32E-05,4.23E-05,4.14E-05,
644,7.91E-05,8.25E-05,4.02E-05,4.18E-05,
645,7.74E-05,8.25E-05,4.02E-05,4.20E-05,
646,7.28E-05,8.19E-05,4.07E-05,4.21E-05,
647,8.80E-05,8.11E-05,4.43E-05,4.19E-05,
648,7.26E-05,8.03E-05,4.00E-05,4.20E-05,
649,8.38E-05,8.14E-05,4.49E-05,4.24E-05,
650,8.24E-05,8.14E-05,4.25E-05,4.24E-05,
651,8.28E-05,8.20E-05,4.27E-05,4.24E-05,
652,8.39E-05,8.15E-05,4.12E-05,4.21E-05,
653,8.06E-05,8.31E-05,4.33E-05,4.21E-05,
654,8.96E-05,8.33E-05,4.36E-05,4.19E-05,
655,7.80E-05,8.31E-05,4.04E-05,4.17E-05,
656,7.88E-05,8.33E-05,4.09E-05,4.18E-05,
657,8.24E-05,8.37E-05,4.10E-05,4.20E-05,
658,8.90E-05,8.35E-05,4.09E-05,4.17E-05,
659,8.52E-05,8.31E-05,4.23E-05,4.14E-05,
660,8.10E-05,8.40E-05,4.12E-05,4.15E-05,
661,8.48E-05,8.49E-05,4.28E-05,4.16E-05,
662,8.73E-05,8.50E-05,4.34E-05,4.16E-05,
663,7.88E-05,8.46E-05,4.02E-05,4.15E-05,
664,8.53E-05,8.51E-05,4.11E-05,4.14E-05,
665,8.70E-05,8.56E-05,4.12E-05,4.12E-05,
666,8.86E-05,8.58E-05,4.21E-05,4.11E-05,
667,8.28E-05,8.65E-05,4.07E-05,4.11E-05,
668,8.53E-05,8.79E-05,4.01E-05,4.12E-05,
669,8.99E-05,8.88E-05,4.07E-05,4.15E-05,
670,8.61E-05,8.90E-05,4.00E-05,4.17E-05,
671,8.67E-05,8.87E-05,4.14E-05,4.16E-05,
672,9.48E-05,8.91E-05,4.38E-05,4.19E-05,
673,9.27E-05,8.93E-05,4.13E-05,4.19E-05,
674,9.40E-05,8.90E-05,4.41E-05,4.20E-05,
675,8.88E-05,8.96E-05,4.27E-05,4.23E-05,
676,8.55E-05,9.00E-05,4.10E-05,4.23E-05,
677,8.71E-05,8.89E-05,4.36E-05,4.21E-05,
678,8.73E-05,8.92E-05,4.09E-05,4.23E-05,
679,8.69E-05,8.95E-05,4.13E-05,4.23E-05,
680,9.23E-05,9.03E-05,4.29E-05,4.24E-05,
681,9.01E-05,9.10E-05,4.19E-05,4.26E-05,
682,8.43E-05,9.13E-05,4.16E-05,4.23E-05,
683,9.59E-05,9.10E-05,4.28E-05,4.24E-05,
684,9.69E-05,9.17E-05,4.41E-05,4.26E-05,
685,9.64E-05,9.14E-05,4.39E-05,4.23E-05,
686,9.26E-05,9.08E-05,4.27E-05,4.22E-05,
687,9.07E-05,9.17E-05,4.09E-05,4.23E-05,
688,8.41E-05,9.14E-05,4.15E-05,4.24E-05,
689,9.34E-05,9.00E-05,4.35E-05,4.22E-05,
690,8.94E-05,8.89E-05,4.05E-05,4.21E-05,
691,8.49E-05,8.87E-05,4.09E-05,4.19E-05,
692,9.26E-05,8.82E-05,4.23E-05,4.19E-05,
693,9.29E-05,8.87E-05,4.37E-05,4.18E-05,
694,8.28E-05,8.76E-05,4.24E-05,4.15E-05,
695,8.57E-05,8.73E-05,4.26E-05,4.18E-05,
696,9.03E-05,8.70E-05,4.07E-05,4.18E-05,
697,8.62E-05,8.64E-05,4.10E-05,4.18E-05,
698,8.85E-05,8.61E-05,4.08E-05,4.16E-05,
699,8.24E-05,8.67E-05,4.04E-05,4.14E-05,
700,8.67E-05,8.69E-05,4.30E-05,4.14E-05,
701,8.16E-05,8.70E-05,4.09E-05,4.18E-05,
702,8.63E-05,8.67E-05,4.20E-05,4.18E-05,
703,9.05E-05,8.64E-05,4.24E-05,4.20E-05,
704,8.83E-05,8.64E-05,4.07E-05,4.21E-05,
705,8.84E-05,8.62E-05,4.25E-05,4.19E-05,
706,9.07E-05,8.65E-05,4.40E-05,4.21E-05,
707,8.35E-05,8.61E-05,4.13E-05,4.20E-05,
708,8.56E-05,8.68E-05,4.29E-05,4.21E-05,
709,8.21E-05,8.70E-05,4.16E-05,4.23E-05,
710,8.52E-05,8.70E-05,4.10E-05,4.25E-05,
711,8.48E-05,8.68E-05,4.30E-05,4.22E-05,
712,8.19E-05,8.72E-05,4.08E-05,4.21E-05,
