Pulse number,Conductance,Moving averaged conductance,,
744,8.77E-05,9.18E-05,,
745,9.80E-05,9.15E-05,,
746,8.76E-05,9.20E-05,,
747,1.01E-04,9.26E-05,,
748,9.32E-05,9.25E-05,,
749,9.44E-05,9.28E-05,,
750,9.03E-05,9.23E-05,,
751,8.91E-05,9.20E-05,,
752,8.87E-05,9.19E-05,,
753,8.98E-05,9.17E-05,,
754,8.58E-05,9.08E-05,,
755,8.84E-05,9.14E-05,,
756,9.39E-05,9.05E-05,,
757,9.15E-05,9.00E-05,,
758,8.82E-05,8.96E-05,,
759,9.05E-05,8.92E-05,,
760,8.57E-05,8.93E-05,,
761,9.07E-05,8.92E-05,,
762,8.71E-05,8.93E-05,,
763,9.13E-05,8.95E-05,,
764,8.72E-05,9.00E-05,,
765,9.35E-05,9.04E-05,,
766,9.76E-05,9.11E-05,,
767,9.90E-05,9.11E-05,,
768,8.86E-05,9.17E-05,,
769,9.66E-05,9.21E-05,,
770,8.94E-05,9.24E-05,,
771,9.41E-05,9.24E-05,,
772,8.67E-05,9.22E-05,,
773,8.97E-05,9.25E-05,,
774,9.03E-05,9.26E-05,,
775,9.39E-05,9.16E-05,,
776,8.81E-05,9.11E-05,,
777,9.38E-05,9.12E-05,,
778,8.91E-05,9.07E-05,,
779,9.19E-05,9.07E-05,,
780,8.93E-05,9.02E-05,,
781,8.95E-05,9.02E-05,,
782,8.65E-05,9.09E-05,,
783,9.62E-05,9.09E-05,,
784,9.07E-05,9.08E-05,,
785,9.34E-05,9.11E-05,,
786,9.07E-05,9.10E-05,,
787,9.23E-05,9.08E-05,,
788,8.79E-05,9.09E-05,,
789,9.27E-05,9.09E-05,,
790,8.91E-05,9.10E-05,,
791,9.10E-05,9.17E-05,,
792,9.29E-05,9.12E-05,,
793,9.11E-05,9.18E-05,,
794,9.70E-05,9.27E-05,,
795,1.02E-04,9.24E-05,,
796,8.83E-05,9.26E-05,,
797,9.40E-05,9.26E-05,,
798,8.80E-05,9.20E-05,,
799,8.62E-05,9.20E-05,,
,8.98E-05,,,
