Pulse number,Conductance,Moving averaged conductance,,
148,9.57E-05,9.64E-05,,
149,9.37E-05,9.65E-05,,
150,9.57E-05,9.70E-05,,
151,9.88E-05,9.75E-05,,
152,1.02E-04,9.73E-05,,
153,9.50E-05,9.77E-05,,
154,9.95E-05,9.78E-05,,
155,9.82E-05,9.71E-05,,
156,9.59E-05,9.76E-05,,
157,1.02E-04,9.80E-05,,
158,9.98E-05,9.85E-05,,
159,9.90E-05,9.91E-05,,
160,1.01E-04,9.93E-05,,
161,1.01E-04,9.93E-05,,
162,1.02E-04,1.00E-04,,
163,1.02E-04,1.00E-04,,
164,1.04E-04,1.00E-04,,
165,9.72E-05,1.01E-04,,
166,1.03E-04,1.01E-04,,
167,9.92E-05,1.00E-04,,
168,9.54E-05,1.01E-04,,
169,1.02E-04,1.00E-04,,
170,9.64E-05,1.00E-04,,
171,1.00E-04,9.95E-05,,
172,9.55E-05,9.89E-05,,
173,9.60E-05,9.79E-05,,
174,9.37E-05,9.79E-05,,
175,9.72E-05,9.68E-05,,
176,9.21E-05,9.63E-05,,
177,9.48E-05,9.63E-05,,
178,9.52E-05,9.55E-05,,
179,9.37E-05,9.57E-05,,
180,9.83E-05,9.54E-05,,
181,9.79E-05,9.65E-05,,
182,1.06E-04,9.70E-05,,
183,1.01E-04,9.77E-05,,
184,1.01E-04,9.77E-05,,
185,9.70E-05,9.81E-05,,
186,9.68E-05,9.81E-05,,
187,9.48E-05,9.83E-05,,
188,9.67E-05,9.91E-05,,
189,1.02E-04,9.90E-05,,
190,9.71E-05,9.97E-05,,
191,1.05E-04,9.92E-05,,
192,1.01E-04,9.90E-05,,
193,9.94E-05,9.90E-05,,
194,9.99E-05,9.97E-05,,
195,1.04E-04,9.97E-05,,
196,9.66E-05,1.00E-04,,
197,1.03E-04,1.01E-04,,
198,9.90E-05,1.00E-04,,
199,9.81E-05,1.01E-04,,
200,1.09E-04,1.01E-04,,
201,9.86E-05,1.01E-04,,
202,9.93E-05,1.01E-04,,
203,9.80E-05,1.00E-04,,
204,9.48E-05,9.93E-05,,
205,9.69E-05,9.91E-05,,
206,9.50E-05,9.76E-05,,
207,8.74E-05,9.70E-05,,
208,9.31E-05,9.59E-05,,
209,8.72E-05,9.40E-05,,
210,8.93E-05,9.27E-05,,
211,8.64E-05,9.18E-05,,
212,8.94E-05,9.11E-05,,
213,9.11E-05,9.10E-05,,
214,9.38E-05,8.98E-05,,
215,8.55E-05,8.98E-05,,
