Epoch,# of updates,Mean squared error
3,320,0.01025
3,321,0.01025
3,322,0.01025
3,323,0.01025
3,324,0.01025
3,325,0.01387
3,326,0.01387
3,327,0.01387
3,328,0.01387
3,329,0.01387
3,330,0.01239
3,331,0.01239
3,332,0.01239
3,333,0.01239
3,334,0.01239
3,335,0.01135
3,336,0.01135
3,337,0.01135
3,338,0.01135
3,339,0.01135
3,340,0.01181
3,341,0.01181
3,342,0.01181
3,343,0.01181
3,344,0.01181
3,345,0.0127
3,346,0.0127
3,347,0.0127
3,348,0.0127
3,349,0.0127
3,350,0.01546
3,351,0.01546
3,352,0.01546
3,353,0.01546
3,354,0.01546
3,355,0.01361
3,356,0.01361
3,357,0.01361
3,358,0.01361
3,359,0.01361
3,360,0.01356
3,361,0.01356
3,362,0.01356
3,363,0.01356
3,364,0.01356
3,365,0.01807
3,366,0.01807
3,367,0.01807
3,368,0.01807
3,369,0.01807
3,370,0.0161
3,371,0.0161
3,372,0.0161
3,373,0.0161
3,374,0.0161
3,375,0.02318
3,376,0.02318
3,377,0.02318
3,378,0.02318
3,379,0.02318
3,380,0.01401
3,381,0.01401
3,382,0.01401
3,383,0.01401
3,384,0.01401
3,385,0.01263
3,386,0.01263
3,387,0.01263
3,388,0.01263
3,389,0.01263
3,390,0.01535
3,391,0.01535
3,392,0.01535
3,393,0.01535
3,394,0.01535
3,395,0.01183
3,396,0.01183
3,397,0.01183
3,398,0.01183
3,399,0.01183
4,400,0.02478
4,401,0.02478
4,402,0.02478
4,403,0.02478
4,404,0.02478
4,405,0.01789
4,406,0.01789
4,407,0.01789
4,408,0.01789
4,409,0.01789
4,410,0.01903
4,411,0.01903
4,412,0.01903
4,413,0.01903
4,414,0.01903
4,415,0.01634
4,416,0.01634
4,417,0.01634
4,418,0.01634
4,419,0.01634
4,420,0.02204
4,421,0.02204
4,422,0.02204
4,423,0.02204
4,424,0.02204
4,425,0.02258
4,426,0.02258
4,427,0.02258
4,428,0.02258
4,429,0.02258
4,430,0.01697
4,431,0.01697
4,432,0.01697
4,433,0.01697
4,434,0.01697
4,435,0.01654
4,436,0.01654
4,437,0.01654
4,438,0.01654
4,439,0.01654
4,440,0.01703
4,441,0.01703
4,442,0.01703
4,443,0.01703
4,444,0.01703
4,445,0.01989
4,446,0.01989
4,447,0.01989
4,448,0.01989
4,449,0.01989
4,450,0.01612
4,451,0.01612
4,452,0.01612
4,453,0.01612
4,454,0.01612
4,455,0.01983
4,456,0.01983
4,457,0.01983
4,458,0.01983
4,459,0.01983
4,460,0.02112
4,461,0.02112
4,462,0.02112
4,463,0.02112
4,464,0.02112
4,465,0.01554
4,466,0.01554
4,467,0.01554
4,468,0.01554
4,469,0.01554
4,470,0.01945
4,471,0.01945
4,472,0.01945
4,473,0.01945
4,474,0.01945
4,475,0.01475
4,476,0.01475
4,477,0.01475
4,478,0.01475
4,479,0.01475
4,480,0.02297
4,481,0.02297
4,482,0.02297
4,483,0.02297
4,484,0.02297
4,485,0.02503
4,486,0.02503
4,487,0.02503
4,488,0.02503
4,489,0.02503
4,490,0.02381
4,491,0.02381
4,492,0.02381
4,493,0.02381
4,494,0.02381
4,495,0.01965
4,496,0.01965
4,497,0.01965
4,498,0.01965
4,499,0.01965
5,500,0.02478
5,501,0.02478
5,502,0.02478
5,503,0.02478
5,504,0.02478
5,505,0.0183
5,506,0.0183
5,507,0.0183
5,508,0.0183
5,509,0.0183
5,510,0.02298
5,511,0.02298
5,512,0.02298
5,513,0.02298
5,514,0.02298
5,515,0.01974
5,516,0.01974
5,517,0.01974
5,518,0.01974
5,519,0.01974
5,520,0.01263
5,521,0.01263
5,522,0.01263
5,523,0.01263
5,524,0.01263
5,525,0.01643
5,526,0.01643
5,527,0.01643
5,528,0.01643
5,529,0.01643
5,530,0.01842
5,531,0.01842
5,532,0.01842
5,533,0.01842
5,534,0.01842
5,535,0.00739
5,536,0.00739
5,537,0.00739
5,538,0.00739
5,539,0.00739
5,540,0.00945
5,541,0.00945
5,542,0.00945
5,543,0.00945
5,544,0.00945
5,545,0.00874
5,546,0.00874
5,547,0.00874
5,548,0.00874
5,549,0.00874
5,550,0.00774
5,551,0.00774
5,552,0.00774
5,553,0.00774
5,554,0.00774
5,555,0.01194
5,556,0.01194
5,557,0.01194
5,558,0.01194
5,559,0.01194
5,560,0.02049
5,561,0.02049
5,562,0.02049
5,563,0.02049
5,564,0.02049
5,565,0.01079
5,566,0.01079
5,567,0.01079
5,568,0.01079
5,569,0.01079
5,570,0.00915
5,571,0.00915
5,572,0.00915
5,573,0.00915
5,574,0.00915
5,575,0.02783
5,576,0.02783
5,577,0.02783
5,578,0.02783
5,579,0.02783
5,580,0.01188
5,581,0.01188
5,582,0.01188
5,583,0.01188
5,584,0.01188
5,585,0.01773
5,586,0.01773
5,587,0.01773
5,588,0.01773
5,589,0.01773
5,590,0.01628
5,591,0.01628
5,592,0.01628
5,593,0.01628
5,594,0.01628
5,595,0.01629
5,596,0.01629
5,597,0.01629
5,598,0.01629
5,599,0.01629
6,600,0.03496
6,601,0.03496
6,602,0.03496
6,603,0.03496
6,604,0.03496
6,605,0.02572
6,606,0.02572
6,607,0.02572
6,608,0.02572
6,609,0.02572
6,610,0.01459
6,611,0.01459
6,612,0.01459
6,613,0.01459
6,614,0.01459
6,615,0.0205
6,616,0.0205
6,617,0.0205
6,618,0.0205
6,619,0.0205
6,620,0.00412
6,621,0.00412
6,622,0.00412
6,623,0.00412
6,624,0.00412
6,625,0.01141
6,626,0.01141
6,627,0.01141
6,628,0.01141
6,629,0.01141
6,630,0.02343
6,631,0.02343
6,632,0.02343
6,633,0.02343
6,634,0.02343
6,635,0.00642
6,636,0.00642
6,637,0.00642
6,638,0.00642
6,639,0.00642
6,640,0.00917
6,641,0.00917
6,642,0.00917
6,643,0.00917
6,644,0.00917
6,645,0.00885
6,646,0.00885
6,647,0.00885
6,648,0.00885
6,649,0.00885
6,650,0.00856
6,651,0.00856
6,652,0.00856
6,653,0.00856
6,654,0.00856
6,655,0.01228
6,656,0.01228
6,657,0.01228
6,658,0.01228
6,659,0.01228
6,660,0.02707
6,661,0.02707
6,662,0.02707
6,663,0.02707
6,664,0.02707
6,665,0.01431
6,666,0.01431
6,667,0.01431
6,668,0.01431
6,669,0.01431
6,670,0.03265
6,671,0.03265
6,672,0.03265
6,673,0.03265
6,674,0.03265
6,675,0.02772
6,676,0.02772
6,677,0.02772
6,678,0.02772
6,679,0.02772
6,680,0.01107
6,681,0.01107
6,682,0.01107
6,683,0.01107
6,684,0.01107
6,685,0.02598
6,686,0.02598
6,687,0.02598
6,688,0.02598
6,689,0.02598
6,690,0.0108
6,691,0.0108
6,692,0.0108
6,693,0.0108
6,694,0.0108
6,695,0.01083
6,696,0.01083
6,697,0.01083
6,698,0.01083
6,699,0.01083
