Accumulated WA(AGAD),Accumulated WA(c-TTv2)
-0.47315,-0.23251
-0.68362,-0.19286
-0.52399,-0.21726
-0.53924,-0.12778
-0.52094,-0.25691
-0.53721,-0.02916
-0.0665,-0.03729
0.0726,-0.0044
0.0726,-0.27791
0.09192,-0.02677
0.21495,-0.07557
0.10311,-0.0227
0.2058,-0.10201
-0.11347,-0.07456
-0.38698,-0.64293
-0.44392,-0.6165
-0.62287,-0.63683
-0.74387,-0.27893
-0.67371,-0.22402
-0.63609,-0.18335
-0.64219,-0.13963
-0.8486,-0.38061
-1.00518,-0.34807
-0.96146,-0.48025
-0.87096,-0.54431
-0.86181,-0.53719
-0.24457,-0.1742
-0.75696,-0.01187
-0.58716,-0.04542
-0.6563,0.00847
-0.52412,-0.09016
-0.64918,-0.04339
-0.62986,-0.05559
-0.68985,-0.07389
-0.81695,-0.17252
-0.89321,-0.22336
-0.76611,-0.15015
-0.699,-0.09016
-0.77221,-0.06474
-0.50887,-0.15015
-0.75594,-0.08203
-0.83627,-0.13388
-0.52412,-0.16337
-0.66647,-0.11355
-0.60648,-0.27216
-0.6746,-0.15219
-0.20847,-0.13897
-0.13215,0.25996
-0.21552,-0.26876
-0.17485,0.07999
-0.21858,0.13795
-0.1718,0.08203
-0.1718,-0.09896
-0.184,-0.16403
-0.18197,-0.23521
-0.30805,-0.16403
-0.29687,-0.20369
-0.44938,-0.17217
-0.51446,-0.45788
-0.44837,-0.48533
-0.48192,-0.78122
-0.4809,-0.77715
-0.4504,-0.76698
-0.45142,-0.7802
-1.22213,-0.72936
-1.1896,-0.82189
-0.85247,-0.7619
-0.53848,-0.02712
-0.51103,0.00847
-0.51713,0.11726
-0.48866,-0.1166
-0.67879,-0.1349
-0.51306,-0.13287
-0.63202,-0.1105
-0.51408,-0.44197
-0.61067,-0.18676
-0.63304,-0.09728
-0.58423,-0.12473
-0.59745,-0.29453
-0.71438,-0.3291
-0.59033,-0.39825
-0.5517,-0.25183
-0.45917,-0.39113
-0.3819,0.05422
-0.46222,-0.08609
-0.63304,-0.42773
-0.01439,-0.26606
0.04591,0.23353
0.08252,0.29555
-0.00187,0.23861
0.0327,0.12778
-0.59466,0.20404
-0.57127,0.10338
-0.51738,0.33012
-0.47671,-0.60023
-0.40554,-0.61853
-0.44621,-0.47008
-0.52958,-0.41518
-0.52145,-0.54329
-0.38317,-0.54024
-0.45536,-0.47415
-0.434,-0.41213
-0.69633,-0.50974
-0.59466,-0.5199
-0.66583,-0.50567
-0.62821,-0.55752
-0.14905,-0.50364
0.01077,0.49957
0.07585,0.52092
0.09618,0.50465
0.10533,0.51889
0.02399,0.38467
0.1033,0.39789
-0.48237,0.34909
-0.76706,-0.02
-0.59421,-0.03526
-0.78943,0.12539
-0.59523,0.08676
-0.65725,-0.04237
-0.55862,0.12336
-0.55557,-0.0261
-0.64708,-0.11151
-0.67962,-0.23251
-0.86467,-0.15422
-0.80672,-0.13083
-0.84129,-0.12473
-0.51223,-0.06983
-0.13139,0.17252
-0.20256,0.14507
-0.57063,0.05864
-0.50658,0.22234
-0.53301,0.03831
-1.22544,-0.23114
-1.22646,-0.27893
-1.22747,-0.23521
-1.20002,-0.18437
-1.24374,-0.13556
-1.23052,-0.11319
-1.15325,-0.162
-0.92752,-0.19454
-0.91634,-0.12336
-0.97531,-0.02372
-1.57013,-0.32062
-1.63825,-0.59921
-1.59453,-0.83612
-1.57419,-0.83714
-0.36169,-0.78325
0.22239,-0.23963
0.24171,-0.18879
0.30576,-0.00374
0.28543,-0.05152
0.31797,-0.05864
0.22442,-0.25488
-1.38615,-0.02
-1.50613,-0.141
-1.39734,0.00236
-1.33531,-0.03221
-1.37395,-0.06576
-1.45224,-0.1593
-1.57832,-0.07694
-1.59561,0.01152
-1.49901,-0.02916
-1.42072,-0.07796
-1.49901,-0.08813
-1.48681,-0.18371
-1.48275,-0.24064
-0.4124,-0.25488
0.38901,0.01695
0.48256,-0.01762
-0.35527,0.03424
-0.41729,-3.31E-04
-0.32782,0.16439
-0.41831,-0.27588
-0.41526,-0.2891
-0.38272,-0.30536
-0.72944,-0.69276
-0.74164,-0.88188
-0.70301,-0.95915
-0.69996,-0.53617
-0.75283,-0.45788
-0.71724,-0.48533
-0.73453,-0.66937
-0.68775,-0.65412
-0.75995,-0.83205
-0.73249,-0.81375
-0.71216,-0.829
-0.19595,-0.86052
-0.64187,0.83612
-0.71508,0.82189
-0.66627,0.81579
-0.7649,0.85239
-0.67136,0.09184
-0.74965,0.01863
-0.65509,0.03592
-0.70085,-0.04847
-0.68763,-0.1349
-0.71406,-0.00577
-0.65001,-0.07186
-0.62052,-0.05152
-0.62865,-0.00374
-0.7649,-0.19286
-0.7588,0.06439
-0.76999,-0.10135
-0.78015,0.04609
-0.39073,0.05422
-0.41005,-0.00984
0.34472,0.09184
-0.23491,-0.05117
-0.18712,0.00374
-0.17797,-0.10506
-0.22881,-0.18335
-0.25118,-0.0532
-0.18,-0.10099
-0.34574,-0.17623
-0.27965,-0.42433
-0.37726,-0.31858
-0.36709,-1.17267
-0.32032,-1.08218
-0.22982,-1.13404
-0.32337,-1.10963
-0.34777,-1.10557
-0.29591,-0.80358
-0.27354,-0.63988
-0.39149,-1.6953
-0.31727,-1.70213
-0.32438,-1.39128
-0.05195,-1.32519
-0.58455,1.34654
-0.56727,1.31807
-0.60794,0.07151
-0.61811,0.11319
-0.62014,-0.15117
-0.62929,-0.25285
-0.69945,-0.27725
-0.61099,-0.10135
-0.64657,-0.02814
0.04992,-0.03119
0.00518,-0.141
-0.00601,-0.05762
0.06822,0.06439
-0.04871,0.06032
-0.08938,-0.02712
-0.51236,0.10913
-0.32426,-0.11863
-0.2907,-0.19184
-0.22055,-0.15524
0.07407,-0.1532
-0.03441,0.13897
-0.12389,-0.13556
-0.02323,-0.01355
0.00829,-0.18335
-0.08627,-0.1681
-0.07508,-0.07354
-0.03339,-0.26774
-0.05881,-0.27994
-0.17574,-0.19454
-0.19811,-0.25453
-0.05373,-0.97339
-0.17168,-0.78427
-0.02831,-1.11879
-0.20421,-1.33434
-0.08118,-1.37705
-0.20116,-1.31909
-0.13609,-1.36586
-0.21946,-1.35671
-0.44519,-1.37705
-0.23446,-1.3801
0.26192,-0.12372
0.27005,-0.09525
0.28123,-0.03526
0.23141,-0.06169
0.27005,-0.07796
-0.21597,-0.02
-0.20987,-0.00374
-0.23732,-0.1654
-0.5027,-0.06373
-0.44779,-0.1471
-0.27901,-0.22539
-0.25156,0.0044
-0.26986,-0.07796
-0.25867,-0.0139
-0.44271,-0.1349
-0.36035,-0.20811
-0.28003,-0.35554
-0.30443,-0.41045
-0.28206,-0.3169
-0.16837,-0.28538
0.14499,0.3047
0.07991,0.15524
0.00264,0.21421
0.15922,0.14913
0.16939,0.09728
0.03822,0.02
0.04026,0.11558
0.01586,-0.1986
0.18667,-0.11726
0.04941,-0.0166
0.0911,-0.38264
-0.03498,-0.2108
-0.02482,-0.4711
0.09415,-0.49652
-0.02787,-0.91035
0.08195,-0.86663
-0.07667,-0.94288
0.08093,-0.89509
-0.08176,-1.29265
-0.10196,-0.99169
0.02266,0.95508
0.20364,0.87374
0.15585,0.84121
0.23109,0.85036
0.25855,1.01406
0.23923,0.94593
0.19347,0.13353
0.29515,0.0288
0.18331,0.09489
0.28803,-0.14202
0.24736,-0.29555
0.19551,-0.34334
0.23719,-0.23658
0.30634,-0.27725
0.22194,-0.26911
0.28092,-0.22336
0.23313,-0.25895
0.3043,-0.19692
0.32362,-0.36062
-0.01903,-0.23556
-0.02164,0.28538
0.08716,0.30063
0.03123,0.25081
0.23052,0.34842
0.07394,0.34131
0.28034,-0.7802
0.2051,-0.72529
-0.04096,-0.6287
-0.04706,-0.59108
0.11969,-0.62158
-0.0135,-0.51075
-0.02571,-0.58905
-0.0196,-0.52194
0.01293,-0.48228
-0.02876,-0.47517
-0.05316,-0.37959
-0.03282,-0.32672
0.11969,-0.33383
0.01802,-0.28706
-2.22E-04,-0.39484
0.02666,-0.06881
-0.02215,0.03897
-0.06485,-0.32707
-0.11671,-0.34639
0.02361,-0.41146
-0.03842,-0.31995
-0.01198,-0.22336
0.10698,-0.25285
0.25137,-0.10033
0.14664,-0.12982
0.12529,-0.25488
0.13647,-0.4684
0.11512,-0.64939
0.05818,-0.52636
0.11715,-0.71345
0.08868,-0.52839
0.08665,-0.2803
0.11919,-0.16439
0.05513,-0.15829
0.01732,-0.28132
-0.06409,0.39011
-0.00512,0.19896
-0.05595,0.21014
-0.06409,0.30979
-0.02952,0.21421
-0.059,-0.39382
9.85E-04,-0.45991
0.03861,-0.37756
-0.19627,-0.68869
-0.0468,-0.46907
-0.20237,-0.44161
-0.03359,-0.51685
-0.07934,-0.54227
-0.12611,-0.54939
-0.10679,-0.69276
-0.13323,-0.70394
-0.10883,-0.6409
-0.16577,-0.59311
-0.04579,-0.60125
0.01706,-0.57278
-0.01808,0.62362
0.12325,0.65717
0.14359,-0.11863
0.07648,-0.16947
0.1202,-0.18777
0.07038,-0.26301
0.10902,-0.04644
0.13545,-0.27827
0.1324,-0.2437
0.03683,-0.23048
0.14257,-0.2742
0.02666,-0.26505
0.15172,-0.28233
0.11613,-0.07898
0.14867,-0.06576
0.17307,0.0288
0.17206,-0.01797
0.21578,-0.1166
0.11105,-0.06068
-2.22E-04,-0.12575
-0.02926,-0.24639
-0.06383,-0.31553
-0.08417,-0.33993
-0.02926,-0.2891
-0.0435,-0.1376
-0.09434,-0.07964
0.01649,-0.12336
-0.01503,-0.34299
-0.07807,-0.29418
-0.0252,-0.28605
-0.08112,-0.17725
-0.07705,-0.20674
0.01852,-0.40501
-0.08214,-0.33993
-0.44614,-0.79138
-0.42479,-0.63683
-0.44004,-0.4711
-0.46749,-0.4406
-0.48478,-0.39382
-0.21552,-0.50669
0.1047,0.09489
0.01624,-0.00577
-1.06155,0.17013
-1.13475,0.14573
-1.06358,-0.35859
-1.00969,-0.18777
-0.968,-0.16337
-1.06155,-0.12473
-1.0463,-0.06068
-1.00562,-0.2681
-1.10222,-0.2803
-0.99647,-0.07999
-1.1134,-0.03119
-0.9619,0.01762
-1.00867,0.0166
-0.89378,-0.25793
-0.94055,-0.1471
-1.05341,-0.20201
-0.94055,-0.1532
-0.0911,-0.13287
0.02602,0.17557
0.12973,0.17049
0.08296,0.18065
0.17651,0.2742
0.11042,0.14608
0.04331,0.24471
0.13075,0.14913
0.03517,0.2986
0.09516,0.1532
0.18871,0.17964
0.13278,0.16134
0.11855,0.22539
0.06873,0.19997
0.06568,0.18777
0.22938,0.15422
0.04738,0.3291
-0.19258,0.26708
-0.07972,-0.03388
-0.13259,0.03627
-0.04318,-0.09286
0.01776,0.08777
0.13062,0.04609
0.2018,0.01457
0.02488,0.08879
0.13571,0.0288
0.16113,0.08574
0.01675,0.08879
0.00658,-0.32504
0.13062,-0.27216
0.03301,-0.4074
0.13469,-0.35656
0.12554,-0.27623
0.12554,-0.4318
0.13672,-0.34334
0.05437,-0.4745
0.0259,-0.32707
0.1835,-0.39926
0.16723,-0.29352
0.14994,-0.31894
0.07731,-0.42061
-0.01223,0.46129
-0.01223,0.48976
-0.09256,-0.21894
-0.14746,-0.14573
-0.21457,-0.15386
-0.18305,-0.08472
-0.07527,-0.19047
-0.20949,-0.02778
-0.19525,-0.17725
-0.13323,-0.07049
-0.13221,-0.15183
-0.1373,-0.15997
-0.16577,-0.25656
-0.15458,-0.1803
-0.13831,-0.20369
-0.15458,-0.22911
-0.10273,-0.24741
-0.01935,-0.17115
-0.15357,-0.6348
-0.02939,-0.6592
-0.02755,0.60735
-0.08144,0.6714
0.10768,0.67039
0.03448,0.67445
0.05379,0.64192
0.00296,0.62565
-0.07025,0.58396
0.06091,0.62565
-0.0611,0.61345
-0.41189,0.59921
-0.39257,0.60938
-0.39562,0.6043
-0.45764,0.65819
-0.57254,0.6043
-0.44036,0.6348
-0.54407,0.55752
-0.44443,0.67445
-0.32038,0.4894
-0.34783,0.73444
0.05996,0.65107
-0.03556,-0.65209
-0.00302,-0.6653
-0.28365,-0.60633
-0.1779,-0.65107
-0.19824,-0.59921
-0.32737,-0.32468
-0.34161,0.35859
-0.28873,0.40333
-0.34161,0.45925
-0.32025,0.34232
-0.4443,0.47857
-0.37008,0.36571
-0.49921,0.34232
-0.50022,0.36266
-0.39346,0.33419
-0.34059,0.34436
-0.45142,0.48162
-0.37618,0.50094
-0.41685,0.3291
-0.08722,0.37486
-0.45472,-0.39825
-0.2961,-0.36367
-0.41812,-0.3291
-0.50353,-0.33215
-0.31034,-0.34537
-0.45574,-0.39113
-0.33881,-0.33317
-0.43744,-0.36164
-0.29,-0.51111
-0.35304,0.1742
-0.44252,0.16912
-0.26865,0.22504
-0.41812,0.16403
-0.43947,0.1437
-0.26458,0.10099
-0.21985,0.26063
-0.34491,0.19657
-0.29814,0.15488
-0.29407,0.08981
0.05602,0.19759
-0.00416,-0.13048
0.05379,-0.19555
-0.01128,-0.1376
0.0843,-0.27486
0.02736,-0.17115
-0.03772,-0.21385
9.21E-04,-0.30943
-0.03568,-0.26673
-0.00925,-0.06744
-0.01636,-0.00338
-0.00823,-0.08981
-0.0428,-0.08777
-0.08855,-0.05829
0.08531,-0.09896
0.127,-0.14776
-0.08144,0.02
0.05176,-0.0288
-9.53E-05,0.12067
-0.055,-0.42839
0.01033,-0.42229
-0.07032,0.61751
-0.09065,0.57583
-0.0876,0.50669
-0.14556,0.53821
-0.01236,0.60226
-0.02863,0.48533
-0.11302,0.50872
-0.06523,0.55041
-0.21673,0.53109
-0.04998,0.53821
-0.16488,-0.1654
-0.15166,-0.10948
-0.10692,-0.38401
-0.25944,-0.07999
-0.11607,-0.2559
-0.15369,-0.18269
-0.12217,-0.2559
-0.10895,-0.16947
-0.11607,-0.08711
-0.11728,-0.1349
0.06136,0.1227
0.06339,0.10541
0.03797,0.05254
0.08373,0.09525
0.00645,-0.05219
0.07661,-0.00338
0.11728,0.13897
0.03289,0.00374
-0.01389,0.06779
0.06746,0.15117
0.07457,0.00374
0.08779,0.21828
0.12745,0.04136
0.06949,0.21116
-0.54464,0.05864
-0.54363,0.22438
-0.40941,0.20099
-0.34942,0.26606
-0.37179,0.17252
-0.09745,0.24064
0.09745,-0.04441
0.252,-0.0922
0.21235,-0.03831
0.22963,-0.11965
-0.49126,-0.03322
-0.30011,0.04914
-0.33163,0.02067
-0.36925,0.03287
-0.45059,0.00948
-0.28384,0.0471
-0.26249,-0.06169
-0.27164,-0.02
-0.26655,-0.1654
-0.34485,-0.11558
-0.33264,-0.0261
-0.24927,-0.15015
-0.15471,0.00643
-0.25029,-0.07796
-0.2452,-0.19082
-0.15064,-0.13693
-0.01204,0.15422
0.01338,0.03729
0.13031,0.15829
-0.0456,0.07491
-0.00289,0.08304
-0.04356,0.16744
-0.09338,0.08508
0.09065,0.04644
0.04693,0.08813
-0.03441,0.06271
-0.02933,0.08101
-0.03441,0.10236
-0.12897,0.12372
-0.04356,0.09728
-0.0578,0.141
-0.12592,0.10033
-0.15541,0.17557
-0.14321,0.03932
-0.03746,0.21014
0.09745,0.03932
0.04083,-0.06373
0.03168,-0.14507
-0.05068,-0.10033
-0.06288,-0.12473
-0.08525,-0.20099
0.03981,-0.01899
-0.08932,-0.19997
-0.03136,-0.05661
0.03066,-0.09931
-0.00899,-0.14608
0.03676,-0.0922
-0.24997,-0.37384
-0.22862,-0.39621
-0.3852,-0.43078
-0.32826,-0.33521
-0.22557,-0.32707
-0.2642,-0.40435
-0.3852,-0.32605
-0.35266,-0.33317
-0.24927,-0.2925
0.25537,0.42773
0.33976,0.27522
0.40484,0.29657
0.20046,0.32809
0.1903,0.30063
0.31231,0.25996
0.30519,0.28538
0.16691,-0.30333
0.17606,-0.31452
0.34383,-0.25758
0.17504,-0.26063
0.2147,-0.28096
0.2208,-0.24842
-0.09643,-0.3318
0.12217,-0.3257
0.02863,-0.26266
-0.13609,-0.30333
0.07337,-0.23521
-0.09237,-0.31858
-0.03956,-0.31045
0.02939,0.33892
0.04058,0.31045
0.21139,0.344
0.1209,0.3074
0.28664,0.32875
0.12599,0.29926
0.27037,0.26571
-0.24819,0.33383
-0.2187,0.26571
-0.16481,0.23724
-0.10584,0.34095
-0.10076,0.30536
-0.11296,0.29316
-0.07025,0.25961
-0.09974,0.3318
-0.24514,0.3684
-0.0733,0.38671
-0.21565,0.33688
-0.2309,0.3623
-0.02348,0.27588
