Epoch,# of updates,Normalized Amain,Normalized WA,Normalized ΔWH,Normalized WH
1,125,-0.51512,0.18488,0.0037,0.82077
1,126,-0.43936,0.26064,0.00521,0.82598
1,127,-0.56619,0.13381,0.00268,0.82866
1,128,-0.56619,0.13381,0.00268,0.83134
1,129,-0.56619,0.13381,0.00268,0.83401
1,130,-0.48788,0.21212,0.00424,0.83825
1,131,-0.27567,0.42433,0.00849,0.84674
1,132,-0.15129,0.54871,0.01097,0.85771
1,133,-0.19373,0.50627,0.01013,0.86784
1,134,0.0277,0.7277,0.01455,0.88239
1,135,0.0277,0.7277,0.01455,0.89695
1,136,0.0277,0.7277,0.01455,0.9115
1,137,0.1225,0.8225,1.65E-02,0.92795
1,138,-0.08572,0.61428,0.01229,0.94024
1,139,-0.13143,0.56857,0.01137,0.95161
1,140,-0.13143,0.56857,0.01137,0.96298
1,141,-0.25531,0.44469,0.00889,0.97187
1,142,-0.32792,0.37208,0.00744,0.97932
1,143,-0.32792,0.37208,0.00744,0.98676
1,144,-0.26152,0.43848,0.00877,0.99553
1,145,-0.26152,0.43848,0.00877,0
1,146,-0.29845,0.40155,0.00803,0.00803
1,147,-0.11325,0.58675,0.01173,0.01977
1,148,-0.15759,0.54241,0.01085,0.03061
1,149,-0.19971,0.50029,0.01001,0.04062
1,150,-0.23973,0.46027,0.00921,0.04983
1,151,-0.31385,0.38615,0.00772,0.05755
1,152,-0.5448,0.1552,0.0031,0.06065
1,153,-0.46756,0.23244,0.00465,0.0653
1,154,-0.46756,0.23244,0.00465,0.06995
1,155,-0.46756,0.23244,0.00465,0.0746
1,156,-0.46756,0.23244,0.00465,0.07925
1,157,-0.66443,0.03557,7.11E-04,0.07996
1,158,-0.42704,0.27296,0.00546,0.08542
1,159,-0.50876,0.19124,0.00382,0.08924
1,160,-0.53332,0.16668,0.00333,0.09258
1,161,-0.53332,0.16668,0.00333,0.09591
1,162,-0.53332,0.16668,0.00333,0.09924
1,163,-0.65695,0.04305,8.61E-04,0.10011
1,164,-0.49539,0.20461,0.00409,0.1042
1,165,-0.60955,0.09045,0.00181,0.10601
1,166,-0.60955,0.09045,0.00181,0.10782
1,167,-0.52907,0.17093,0.00342,0.11123
1,168,-0.57498,0.12502,0.0025,0.11373
1,169,-0.57498,0.12502,0.0025,0.11623
1,170,-0.59624,0.10376,0.00208,0.11831
1,171,-0.61642,0.08358,0.00167,0.11998
1,172,-0.67113,0.02887,5.77E-04,0.12056
1,173,-0.7032,-0.0032,-6.39E-05,0.1205
1,174,-0.78182,-0.08182,-0.00164,0.11886
1,175,-0.52769,0.17231,0.00345,0.1223
1,176,-0.57374,0.12626,0.00253,0.12483
1,177,-0.57374,0.12626,0.00253,0.12736
1,178,-0.49505,0.20495,0.0041,0.13145
1,179,-0.54429,0.15571,0.00311,0.13457
1,180,-0.58872,0.11128,0.00223,0.13679
1,181,-0.66501,0.03499,7.00E-04,0.13749
1,182,-0.42754,0.27246,0.00545,0.14294
1,183,-0.50918,0.19082,0.00382,0.14676
1,184,-0.50918,0.19082,0.00382,0.15058
1,185,-0.22924,0.47076,0.00942,0.15999
1,186,-0.16778,0.53222,1.06E-02,0.17064
1,187,-0.05392,0.64608,0.01292,0.18356
1,188,-0.30454,0.39546,0.00791,0.19147
1,189,-0.17735,0.52265,0.01045,0.20192
1,190,-0.17735,0.52265,0.01045,0.21237
1,191,-0.21848,0.48152,0.00963,0.222
1,192,-0.21848,0.48152,0.00963,0.23163
1,193,-0.21848,0.48152,0.00963,0.24126
1,194,-0.21848,0.48152,0.00963,0.25089
1,195,-0.29468,0.40532,0.00811,0.259
1,196,-0.29468,0.40532,0.00811,0.26711
1,197,-0.29468,0.40532,0.00811,0.27521
1,198,-0.39528,0.30472,0.00609,0.28131
1,199,-0.39528,0.30472,0.00609,0.2874
2,200,-0.42551,0.27449,0.00549,0.29289
2,201,-0.55547,0.14453,0.00289,0.29578
2,202,-0.4777,0.2223,0.00445,0.30023
2,203,-0.63526,0.06474,0.00129,0.30152
2,204,-0.63526,0.06474,0.00129,0.30282
2,205,-0.6535,0.0465,9.30E-04,0.30375
2,206,-0.75802,-0.05802,-0.00116,0.30259
2,207,-0.67012,0.02988,5.98E-04,0.30318
2,208,-0.67012,0.02988,5.98E-04,0.30378
2,209,-0.29231,0.40769,0.00815,0.31194
2,210,-0.29231,0.40769,0.00815,0.32009
2,211,-0.29231,0.40769,0.00815,0.32824
2,212,-0.42358,0.27642,0.00553,0.33377
2,213,-0.47978,0.22022,0.0044,0.33818
2,214,-0.50579,0.19421,0.00388,0.34206
2,215,-0.50579,0.19421,0.00388,0.34595
2,216,-0.7041,-0.0041,-8.20E-05,0.34586
2,217,-0.75899,-0.05899,-0.00118,0.34468
2,218,-0.36107,0.33893,0.00678,0.35146
2,219,-0.42337,0.27663,0.00553,0.35699
2,220,-0.47959,0.22041,0.00441,0.3614
2,221,-0.55381,0.14619,0.00292,0.36433
2,222,-0.61745,0.08255,0.00165,0.36598
2,223,-0.53658,0.16342,0.00327,0.36925
2,224,-0.65934,0.04066,8.13E-04,0.37006
2,225,-0.65934,0.04066,8.13E-04,0.37087
2,226,-0.65934,0.04066,8.13E-04,0.37169
2,227,-0.72253,-0.02253,-4.51E-04,0.37123
2,228,-0.72253,-0.02253,-4.51E-04,0.37078
2,229,-0.6364,0.0636,0.00127,0.37206
2,230,-0.6364,0.0636,0.00127,0.37333
2,231,-0.55458,0.14542,0.00291,0.37624
2,232,-0.33286,0.36714,0.00734,0.38358
2,233,-0.36622,0.33378,0.00668,0.39025
2,234,-0.23301,0.46699,0.00934,0.39959
2,235,-0.23301,0.46699,0.00934,0.40893
2,236,-0.23301,0.46699,0.00934,0.41827
2,237,0.04592,0.74592,0.01492,0.43319
2,238,-0.14809,0.55191,0.01104,0.44423
2,239,-0.19069,0.50931,0.01019,0.45442
2,240,-0.13115,0.56885,0.01138,0.46579
2,241,-0.25507,0.44493,0.0089,0.47469
2,242,-0.36132,0.33868,0.00677,0.48147
2,243,-0.29325,0.40675,0.00813,0.4896
2,244,-0.29325,0.40675,0.00813,0.49774
2,245,-0.29325,0.40675,0.00813,0.50587
2,246,-0.32859,0.37141,0.00743,0.5133
2,247,-0.26216,0.43784,0.00876,0.52206
2,248,-0.42907,0.27093,0.00542,0.52747
2,249,-0.48474,0.21526,0.00431,0.53178
2,250,-0.53498,0.16502,0.0033,0.53508
2,251,-0.58032,0.11968,0.00239,0.53747
2,252,-0.73549,-0.03549,-7.10E-04,0.53676
2,253,-0.48797,0.21203,0.00424,0.541
2,254,-0.48797,0.21203,0.00424,0.54524
2,255,-0.48797,0.21203,0.00424,0.54949
2,256,-0.34289,0.35711,0.00714,0.55663
2,257,-0.51697,0.18303,0.00366,0.56029
2,258,-0.1738,0.5262,0.01052,0.57081
2,259,-0.39267,0.30733,0.00615,0.57696
2,260,-0.39267,0.30733,0.00615,0.58311
2,261,-0.42303,0.27697,0.00554,0.58864
2,262,-0.42303,0.27697,0.00554,0.59418
2,263,-0.50532,0.19468,0.00389,0.59808
2,264,-0.50532,0.19468,0.00389,0.60197
2,265,-0.59708,0.10292,0.00206,0.60403
2,266,-0.59708,0.10292,0.00206,0.60609
2,267,-0.59708,0.10292,0.00206,0.60815
2,268,-0.61723,0.08277,0.00166,0.6098
2,269,-0.61723,0.08277,0.00166,0.61146
2,270,-0.65455,0.04545,9.09E-04,0.61237
2,271,-0.65455,0.04545,9.09E-04,0.61328
2,272,-0.75876,-0.05876,-0.00118,0.6121
2,273,-0.75876,-0.05876,-0.00118,0.61092
2,274,-0.81333,-0.11333,-0.00227,0.60866
2,275,-0.47697,0.22303,0.00446,0.61312
2,276,-0.50312,0.19688,0.00394,0.61706
2,277,-0.50312,0.19688,0.00394,0.62099
2,278,-0.42797,0.27203,0.00544,0.62643
2,279,-0.50955,0.19045,0.00381,0.63024
2,280,-0.50955,0.19045,0.00381,0.63405
2,281,-0.55737,0.14263,0.00285,0.63691
2,282,-0.20506,0.49494,0.0099,0.6468
2,283,-0.24481,0.45519,0.0091,0.65591
