Epoch,# of updates,Normalized WC,Normalized WH
2,211,-0.25335,-0.17307
2,212,-0.25335,-0.17307
2,213,-0.25335,-0.17307
2,214,-0.25335,-0.17307
2,215,-0.24301,-0.21742
2,216,-0.24301,-0.21742
2,217,-0.24301,-0.21742
2,218,-0.24301,-0.21742
2,219,-0.24301,-0.21742
2,220,-0.36056,-0.20907
2,221,-0.36056,-0.20907
2,222,-0.36056,-0.20907
2,223,-0.36056,-0.20907
2,224,-0.36056,-0.20907
2,225,-0.29362,-0.20071
2,226,-0.29362,-0.20071
2,227,-0.29362,-0.20071
2,228,-0.29362,-0.20071
2,229,-0.29362,-0.20071
2,230,-0.30559,-0.20212
2,231,-0.30559,-0.20212
2,232,-0.30559,-0.20212
2,233,-0.30559,-0.20212
2,234,-0.30559,-0.20212
2,235,-0.32083,-0.20513
2,236,-0.32083,-0.20513
2,237,-0.32083,-0.20513
2,238,-0.32083,-0.20513
2,239,-0.32083,-0.20513
2,240,-0.36763,-0.16738
2,241,-0.36763,-0.16738
2,242,-0.36763,-0.16738
2,243,-0.36763,-0.16738
2,244,-0.36763,-0.16738
2,245,-0.35131,-0.12998
2,246,-0.35131,-0.12998
2,247,-0.35131,-0.12998
2,248,-0.35131,-0.12998
2,249,-0.35131,-0.12998
2,250,-0.39974,-0.15903
2,251,-0.39974,-0.15903
2,252,-0.39974,-0.15903
2,253,-0.39974,-0.15903
2,254,-0.39974,-0.15903
2,255,-0.26042,-0.1894
2,256,-0.26042,-0.1894
2,257,-0.26042,-0.1894
2,258,-0.26042,-0.1894
2,259,-0.26042,-0.1894
2,260,-0.35784,-0.17411
2,261,-0.35784,-0.17411
2,262,-0.35784,-0.17411
2,263,-0.35784,-0.17411
2,264,-0.35784,-0.17411
2,265,-0.3562,-0.22684
2,266,-0.3562,-0.22684
2,267,-0.3562,-0.22684
2,268,-0.3562,-0.22684
2,269,-0.3562,-0.22684
2,270,-0.38341,-0.29057
2,271,-0.38341,-0.29057
2,272,-0.38341,-0.29057
2,273,-0.38341,-0.29057
2,274,-0.38341,-0.29057
2,275,-0.36926,-0.34364
2,276,-0.36926,-0.34364
2,277,-0.36926,-0.34364
2,278,-0.36926,-0.34364
2,279,-0.36926,-0.34364
2,280,-0.27239,-0.34021
2,281,-0.27239,-0.34021
2,282,-0.27239,-0.34021
2,283,-0.27239,-0.34021
2,284,-0.27239,-0.34021
2,285,-0.26369,-0.34109
2,286,-0.26369,-0.34109
2,287,-0.26369,-0.34109
2,288,-0.26369,-0.34109
2,289,-0.26369,-0.34109
2,290,-0.22287,-0.33493
2,291,-0.22287,-0.33493
2,292,-0.22287,-0.33493
2,293,-0.22287,-0.33493
2,294,-0.22287,-0.33493
2,295,-0.38559,-0.3609
2,296,-0.38559,-0.3609
2,297,-0.38559,-0.3609
2,298,-0.38559,-0.3609
2,299,-0.38559,-0.3609
3,300,-0.35838,-0.3504
3,301,-0.35838,-0.3504
3,302,-0.35838,-0.3504
3,303,-0.35838,-0.3504
3,304,-0.35838,-0.3504
3,305,-0.32518,-0.33501
3,306,-0.32518,-0.33501
3,307,-0.32518,-0.33501
3,308,-0.32518,-0.33501
3,309,-0.32518,-0.33501
3,310,-0.34695,-0.32201
3,311,-0.34695,-0.32201
3,312,-0.34695,-0.32201
3,313,-0.34695,-0.32201
3,314,-0.34695,-0.32201
3,315,-0.34804,-0.31204
3,316,-0.34804,-0.31204
3,317,-0.34804,-0.31204
3,318,-0.34804,-0.31204
3,319,-0.34804,-0.31204
3,320,-0.37307,-0.2864
3,321,-0.37307,-0.2864
3,322,-0.37307,-0.2864
3,323,-0.37307,-0.2864
3,324,-0.37307,-0.2864
3,325,-0.30233,-0.25667
3,326,-0.30233,-0.25667
3,327,-0.30233,-0.25667
3,328,-0.30233,-0.25667
3,329,-0.30233,-0.25667
3,330,-0.28981,-0.23135
3,331,-0.28981,-0.23135
3,332,-0.28981,-0.23135
3,333,-0.28981,-0.23135
3,334,-0.28981,-0.23135
3,335,-0.3094,-0.2033
3,336,-0.3094,-0.2033
3,337,-0.3094,-0.2033
3,338,-0.3094,-0.2033
3,339,-0.3094,-0.2033
3,340,-0.37362,-0.20889
3,341,-0.37362,-0.20889
3,342,-0.37362,-0.20889
3,343,-0.37362,-0.20889
3,344,-0.37362,-0.20889
3,345,-0.35892,-0.20129
3,346,-0.35892,-0.20129
3,347,-0.35892,-0.20129
3,348,-0.35892,-0.20129
3,349,-0.35892,-0.20129
3,350,-0.3845,-0.20539
3,351,-0.3845,-0.20539
3,352,-0.3845,-0.20539
3,353,-0.3845,-0.20539
3,354,-0.3845,-0.20539
3,355,-0.36165,-0.2119
3,356,-0.36165,-0.2119
3,357,-0.36165,-0.2119
3,358,-0.36165,-0.2119
3,359,-0.36165,-0.2119
3,360,-0.38069,-0.21395
3,361,-0.38069,-0.21395
3,362,-0.38069,-0.21395
3,363,-0.38069,-0.21395
3,364,-0.38069,-0.21395
3,365,-0.29852,-0.25536
3,366,-0.29852,-0.25536
3,367,-0.29852,-0.25536
3,368,-0.29852,-0.25536
3,369,-0.29852,-0.25536
3,370,-0.36437,-0.29965
3,371,-0.36437,-0.29965
3,372,-0.36437,-0.29965
3,373,-0.36437,-0.29965
3,374,-0.36437,-0.29965
3,375,-0.36219,-0.30279
3,376,-0.36219,-0.30279
3,377,-0.36219,-0.30279
3,378,-0.36219,-0.30279
3,379,-0.36219,-0.30279
3,380,-0.23267,-0.32267
3,381,-0.23267,-0.32267
3,382,-0.23267,-0.32267
3,383,-0.23267,-0.32267
3,384,-0.23267,-0.32267
3,385,-0.24028,-0.29236
3,386,-0.24028,-0.29236
3,387,-0.24028,-0.29236
3,388,-0.24028,-0.29236
3,389,-0.24028,-0.29236
3,390,-0.32954,-0.26186
3,391,-0.32954,-0.26186
3,392,-0.32954,-0.26186
3,393,-0.32954,-0.26186
3,394,-0.32954,-0.26186
3,395,-0.36818,-0.22724
3,396,-0.36818,-0.22724
3,397,-0.36818,-0.22724
3,398,-0.36818,-0.22724
3,399,-0.36818,-0.22724
