Epoch,# of updates,Normalized Amain,Normalized WA,Normalized ΔWH,Normalized WH
1,121,0.09935,0.79935,0.01599,-0.41819
1,122,0.09935,0.79935,0.01599,-0.4022
1,123,0.18716,0.88716,0.01774,-0.38446
1,124,-0.0814,0.6186,0.01237,-0.37209
1,125,-0.02733,0.67267,0.01345,-0.35864
1,126,0.1192,0.8192,0.01638,-0.34225
1,127,0.01007,0.71007,0.0142,-0.32805
1,128,0.01007,0.71007,0.0142,-0.31385
1,129,0.05957,0.75957,0.01519,-0.29866
1,130,0.10659,0.80659,0.01613,-0.28252
1,131,0.1937,0.8937,0.01787,-0.26465
1,132,0.23401,0.93401,0.01868,-0.24597
1,133,0.1137,0.8137,0.01627,-0.2297
1,134,0.15801,0.85801,0.01716,-0.21254
1,135,0.10011,0.80011,0.016,-0.19653
1,136,0.10011,0.80011,0.016,-0.18053
1,137,0.22846,0.92846,1.86E-02,-0.16196
1,138,-0.09697,0.60303,0.01206,-0.1499
1,139,-0.14212,0.55788,-0.01116,-0.13874
1,140,-0.22576,0.47424,-0.00948,-0.14823
1,141,-0.05094,0.64906,-0.01298,-0.16121
1,142,-0.05094,0.64906,-0.01298,-0.17419
1,143,-0.05094,0.64906,-0.01298,-0.18717
1,144,-0.05094,0.64906,-0.01298,-0.20015
1,145,-0.05094,0.64906,-0.01298,-0.21314
1,146,-0.05094,0.64906,-0.01298,-0.22612
1,147,-0.14347,0.55653,-0.01113,-0.23725
1,148,-0.03198,0.66802,-0.01336,-0.25061
1,149,0.15944,0.85944,-0.01719,-0.2678
1,150,0.27933,0.97933,-0.01959,-0.28738
1,151,0.38211,1.08211,-0.02164,-0.30902
1,152,0.63005,1.33005,-0.0266,-0.33563
1,153,0.47112,1.17112,-0.02342,-0.35905
1,154,0.47112,1.17112,-0.02342,-0.38247
1,155,0.47112,1.17112,-0.02342,-0.40589
1,156,0.39756,1.09756,-0.02195,-0.42784
1,157,0.53385,1.23385,-2.47E-02,-0.45252
1,158,0.18686,0.88686,-0.01774,-0.47026
1,159,0.26614,0.96614,0.01932,-0.48958
1,160,0.20283,0.90283,0.01806,-0.47152
1,161,0.14269,0.84269,0.01685,-0.45467
1,162,0.14269,0.84269,0.01685,-0.43782
1,163,-0.11581,0.58419,1.17E-02,-0.42613
1,164,-0.11581,0.58419,0.01168,-0.41445
1,165,-0.11581,0.58419,0.01168,-0.40277
1,166,-0.06002,0.63998,0.0128,-0.38997
1,167,-0.06002,0.63998,0.0128,-0.37717
1,168,-0.15166,0.54834,0.01097,-0.3662
