Epoch,# of updates,Normalized WA,Effective WA,Pulse direction
1,175,-1.167,-1.167,-1
1,176,-1.19128,-1.19128,-1
1,177,-0.93019,-0.93019,-1
1,178,-0.90195,-0.90195,-1
1,179,-0.14217,0.14217,-1
1,180,-0.12879,0.12879,-1
1,181,0.88136,-0.88136,1
1,182,0.95964,-0.95964,1
1,183,0.92347,-0.92347,1
1,184,1.12263,-1.12263,1
1,185,1.07804,-1.07804,1
1,186,1.01859,-1.01859,1
1,187,0.87988,-0.87988,1
1,188,1.14641,-1.14641,1
1,189,0.91208,-0.91208,1
1,190,1.04782,-1.04782,1
1,191,0.9636,-0.9636,1
1,192,1.13601,-1.13601,1
1,193,0.92793,-0.92793,1
1,194,0.95914,-0.95914,1
1,195,0.8769,-0.8769,1
1,196,1.02058,-1.02058,1
1,197,0.87839,-0.87839,1
1,198,1.08944,-1.08944,1
1,199,0.07848,0.07848,1
2,200,0.02547,0.02547,1
2,201,0.11861,0.11861,1
2,202,0.23503,0.23503,1
2,203,0.22562,0.22562,1
2,204,-0.78107,-0.78107,-1
2,205,-0.75581,-0.75581,-1
2,206,-0.68496,-0.68496,-1
2,207,-0.6805,-0.6805,-1
2,208,-0.68298,-0.68298,-1
2,209,-0.73004,-0.73004,-1
2,210,-0.80634,-0.80634,-1
2,211,-0.87322,-0.87322,-1
2,212,-0.89254,-0.89254,-1
2,213,-0.95348,-0.95348,-1
2,214,-0.95496,-0.95496,-1
2,215,-0.88709,-0.88709,-1
2,216,-0.95893,-0.95893,-1
2,217,-0.83061,-0.83061,-1
2,218,-0.89601,-0.89601,-1
2,219,-0.16663,0.16663,-1
2,220,-0.16713,0.16713,-1
2,221,-0.18694,0.18694,-1
2,222,-0.17059,0.17059,-1
2,223,-0.17208,0.17208,-1
2,224,-0.11957,0.11957,-1
2,225,-0.16713,0.16713,-1
2,226,0.88861,-0.88861,1
2,227,0.75782,-0.75782,1
2,228,0.76376,-0.76376,1
2,229,0.77268,-0.77268,1
2,230,0.02807,-0.02807,-1
2,231,0.01915,-0.01915,-1
2,232,0.00181,-0.00181,-1
2,233,-0.05268,0.05268,-1
2,234,0.00231,-0.00231,-1
2,235,0.06027,-0.06027,-1
2,236,0.04442,-0.04442,-1
2,237,3.25E-04,-3.25E-04,-1
2,238,0.00528,-0.00528,-1
2,239,-0.04163,-0.04163,-1
2,240,0.755,0.755,1
2,241,0.64849,0.64849,1
2,242,0.61579,0.61579,1
2,243,0.63115,0.63115,1
2,244,0.70348,0.70348,1
2,245,0.74806,0.74806,1
2,246,0.76739,0.76739,1
2,247,0.71933,0.71933,1
2,248,-0.54299,-0.54299,-1
2,249,-0.55191,-0.55191,-1
2,250,-0.58114,-0.58114,-1
2,251,-0.58411,-0.58411,-1
2,252,-0.53457,-0.53457,-1
2,253,-0.58758,-0.58758,-1
2,254,-0.52813,-0.52813,-1
2,255,-0.6074,-0.6074,-1
2,256,-0.5851,-0.5851,-1
2,257,-0.59947,-0.59947,-1
2,258,-0.53507,-0.53507,-1
2,259,-0.25581,0.25581,-1
2,260,-0.30584,0.30584,-1
2,261,-0.28157,0.28157,-1
2,262,1.11254,-1.11254,1
2,263,1.08925,-1.08925,1
2,264,1.05309,-1.05309,1
2,265,1.05457,-1.05457,1
2,266,1.06894,-1.06894,1
2,267,1.12096,-1.12096,1
2,268,1.11353,-1.11353,1
2,269,1.06597,-1.06597,1
2,270,1.27454,-1.27454,1
2,271,1.29039,-1.29039,1
2,272,1.04318,-1.04318,1
2,273,1.01692,-1.01692,1
2,274,1.11452,-1.11452,1
2,275,1.06151,-1.06151,1
2,276,0.99413,-0.99413,1
2,277,1.13731,-1.13731,1
2,278,1.22747,-1.22747,1
2,279,0.00773,0.00773,1
2,280,0.06866,0.06866,1
